Ticker,Description,Price,Change %,Change,High,Low,Volume,Volume 24h in -usd,Volume 24h Change %,Technical Rating,Exchange
ATOMGBP,Cosmos / British Pound,8.21,0.48959608,0.04,8.22,8.17,109.547,27324.50385427,-2.28295,Sell,COINBASE
AUCTION-usd,Bounce Token / United States Dollar,5.07,0.99601594,0.05,5.08,5.03,648.82,26573.01726,-60.69037842,Neutral,COINBASE
ATOMEUR,Cosmos / Euro,9.56,0.10471204,0.01,9.58,9.56,55.033,26476.01966523,-46.50480752,Sell,COINBASE
QSP-usd,Quantstamp / United States Dollar,0.01235,-0.40322581,-0.00005,0.0124,0.01232,4682,26455.33011,-39.95134571,Sell,COINBASE
MIRGBP,Mirror Protocol / British Pound,0.109,-1.8018018,-0.002,0.111,0.108,15811.15,26224.63919752,-85.41576368,Sell,COINBASE
CTSIBTC,Cartesi / Bitcoin,0.0000065,-1.51515152,-1e-7,0.0000065,0.0000065,448.7,25531.71829455,59.33550442,Sell,COINBASE
BADGER-usd,Badger DAO / United States Dollar,2.64,0,0,2.66,2.64,190.225,24546.37755,-14.00345135,Sell,COINBASE
PAX-usd,Paxos Standard / United States Dollar,0.998,-0.01001904,-0.0001,0.9982,0.998,78.92,24495.854239,567.42717504,Neutral,COINBASE
NKNEUR,NKN / Euro,0.0819,-0.3649635,-0.0003,0.0819,0.0814,2605.2,24045.84405002,832.39686936,Neutral,COINBASE
IDEX-usdT,IDEX / Tether,0.0516,0.97847358,0.0005,0.0518,0.0512,32600.7,23832.12640829,978.552613,Neutral,COINBASE
AXSBTC,Axie Infinity / Bitcoin,0.0004004,0.62829857,0.0000025,0.0004011,0.000398,26.206,23574.83624402,21.88389692,Sell,COINBASE
TRU-usdT,TrueFi / Tether,0.0384,-3.51758794,-0.0014,0.044,0.0381,575616.8,23316.58098642,541.16289267,Sell,COINBASE
PRQ-usd,PARSIQ / United States Dollar,0.0815,0.24600246,0.0002,0.0816,0.0814,90.1,23194.8157,-2.46482824,Sell,COINBASE
JASMY-usdT,JasmyCoin / Tether,0.00413,0.97799511,0.00004,0.00414,0.00412,215211,22975.93509873,-23.76645644,Neutral,COINBASE
CLVEUR,Clover Finance / Euro,0.06167,0.89986911,0.00055,0.06167,0.06129,81988.48,22885.12193443,-23.75326846,Sell,COINBASE
SUKUEUR,SUKU / Euro,0.0512,-1.53846154,-0.0008,0.0519,0.0512,31404.6,22827.84018948,158.61568393,Sell,COINBASE
GLM-usd,Golem Network / United States Dollar,0.2231,-0.75622776,-0.0017,0.2245,0.223,2220.2,22779.67701,-38.22771238,Sell,COINBASE
GRTGBP,The Graph / British Pound,0.0516,0.58479532,0.0003,0.0516,0.0514,6383.32,22775.11854088,-2.34630645,Sell,COINBASE
GNO-usd,Gnosis / United States Dollar,91.23,1.22045934,1.1,92.49,90.91,10.1044,22600.081378,-19.28948371,Sell,COINBASE
OOKI-usd,Ooki Protocol / United States Dollar,0.0039,2.06752159,0.000079,0.0039,0.003821,1512290,22137.383989,-0.14911666,Buy,COINBASE
ARPA-usdT,ARPA / Tether,0.0281,-2.43055556,-0.0007,0.03,0.028,758626.6,21916.552996,72.70989981,Sell,COINBASE
DIA-usd,DIA / United States Dollar,0.33508,-4.04078009,-0.01411,0.35084,0.33491,63614.31,21871.7688675,-0.65690095,Sell,COINBASE
UMAGBP,UMA / British Pound,1.38,-0.71942446,-0.01,1.43,1.35,12462.151,21544.08532929,251.10781717,Sell,COINBASE
PERP-usdT,Perpetual Protocol / Tether,0.4627,1.00414757,0.0046,0.463,0.459,103.806,21143.18881115,-35.86160865,Neutral,COINBASE
C98-usdT,Coin98 / Tether,0.2425,0.74781886,0.0018,0.2425,0.2407,109.78,20847.06617368,19.21041675,Sell,COINBASE
TRUBTC,TrueFi / Bitcoin,0.00000226,0,0,0.00000226,0.00000226,10.3,20628.78219631,277.16210555,Sell,COINBASE
FIS-usd,Stafi / United States Dollar,0.3034,-0.32851511,-0.001,0.306,0.3028,3031.6,20610.04433,72.88918964,Buy,COINBASE
NMREUR,Numeraire / Euro,10.96,-0.18214936,-0.02,11.07,10.96,148.982,20355.56565823,-20.95532948,Sell,COINBASE
PERPEUR,Perpetual Protocol / Euro,0.4395,1.03448276,0.0045,0.441,0.436,458.386,20319.14447015,-45.23179305,Sell,COINBASE
UNIEUR,Uniswap / Euro,5.84,1.03806228,0.06,5.84,5.8,179.005,20086.55839212,-64.52998424,Neutral,COINBASE
TRAC-usdT,OriginTrail / Tether,0.1982,0.96790627,0.0019,0.1982,0.195,1069.6,19363.77719665,590.65069608,Buy,COINBASE
LQTY-usd,Liquity / United States Dollar,0.6155,-0.22694116,-0.0014,0.6163,0.6155,627.02,18295.264782,-46.53154116,Sell,COINBASE
BATEUR,Basic Attention Token / Euro,0.21774,0.2347742,0.00051,0.21799,0.21774,1560.22,18030.7212408,21.66948447,Sell,COINBASE
GAL-usdT,Project Galaxy / Tether,1.507,0.60080107,0.009,1.507,1.507,3.939,17920.70845221,182.59377715,Sell,COINBASE
XLM-usdT,Stellar / Tether,0.0865,0.23174971,0.0002,0.0865,0.0862,3864.8,17866.40111218,4.30120436,Sell,COINBASE
STORJBTC,Storj / Bitcoin,0.00001948,0.36063885,7e-8,0.00001949,0.0000194,14.34,17383.20014836,178.17374199,Sell,COINBASE
KNCBTC,Kyber Network / Bitcoin,0.00003757,-0.37125431,-1.4e-7,0.00003768,0.00003749,1090.3,17027.98822765,2.48094344,Sell,COINBASE
AGLD-usd,Adventure Gold / United States Dollar,0.2737,0.9590557,0.0026,0.2737,0.272,4669.1,16889.13793,5.62276174,Neutral,COINBASE
SNXBTC,Synthetix / Bitcoin,0.0001019,0.5923001,6e-7,0.0001019,0.0001014,99.87,16844.66073781,-69.19457543,Sell,COINBASE
1INCHEUR,1Inch / Euro,0.466,0.43103448,0.002,0.466,0.463,51.8,16288.01594935,-29.75623258,Sell,COINBASE
MCO2-usdT,Moss Carbon Credit / Tether,1.96,-1.01010101,-0.02,2.5,1.96,7296.78,16170.40844936,2432.34878063,Sell,COINBASE
ALICE-usd,My Neighbor Alice / United States Dollar,1.324,0.76103501,0.01,1.324,1.323,22.806,16096.080296,-82.23446911,Neutral,COINBASE
OMGEUR,OMG Network / Euro,1.1294,0.99257802,0.0111,1.1294,1.1201,221.4,15894.54745605,-59.06555293,Sell,COINBASE
BICO-usdT,Biconomy / Tether,0.3091,0.5203252,0.0016,0.3095,0.3091,2124.51,15795.3461066,-10.27654196,Sell,COINBASE
