Ticker,Description,Price,Change %,Change,High,Low,Volume,Volume 24h in -usd,Volume 24h Change %,Technical Rating,Exchange
XYO-usdT,XYO / Tether,0.00429,-0.69444444,-0.00003,0.0044,0.00429,582827.1,2763.76075001,-6.33446577,Sell,COINBASE
KRL-usdT,kryll / Tether,0.2916,-1.31979695,-0.0039,0.2955,0.2912,7676.1,2666.32321956,-66.93385654,Sell,COINBASE
MEDIA-usdT,Media Network / Tether,20.6,-1.95145169,-0.41,21.79,20.31,121.005,2614.88119552,82.25362275,Sell,COINBASE
ELA-usdT,Elastos / Tether,1.155,0.96153846,0.011,1.159,1.143,2162.61,2573.80478915,-91.84992999,Sell,COINBASE
WCFG-usdT,Wrapped Centrifuge / Tether,0.21658,-5.10449985,-0.01165,0.22824,0.21658,7606.58,2525.26650869,96.12530939,Sell,COINBASE
CGLDEUR,Celo / Euro,0.56,0,0,0.56,0.56,40.39,2499.48753786,55.26304554,Neutral,COINBASE
AUCTION-usdT,Bounce Token / Tether,5.04,-0.1980198,-0.01,5.07,5.04,1.436,2492.83309702,-76.91410812,Neutral,COINBASE
KSM-usdT,Kusama / Tether,29.53,0.20359688,0.06,29.61,29.37,5.3292,2482.27829746,19.13420007,Neutral,COINBASE
QSP-usdT,Quantstamp / Tether,0.01235,-3.36463224,-0.00043,0.01284,0.01232,190972,2456.75972832,-63.45666596,Sell,COINBASE
ALCX-usdT,Alchemix / Tether,18.04,0.4454343,0.08,18.04,18.04,0.1553,2417.54876162,92.3864685,Sell,COINBASE
NUGBP,NuCypher / British Pound,0.0864,1.52761457,0.0013,0.088,0.0836,21943.614808,2393.89657505,-24.4371849,Sell,COINBASE
GYEN-usd,GYEN / United States Dollar,0.007204,0.0138831,0.000001,0.007314,0.007201,47586,2378.125386,-99.32010336,Neutral,COINBASE
BOND-usdT,BarnBridge / Tether,4.012,1.46686899,0.058,4.012,4.012,0.433,2377.43174606,-4.61905726,Neutral,COINBASE
ASM-usdT,Assemble Protocol / Tether,0.01228,1.48760331,0.00018,0.01285,0.0121,193741,2367.23093457,-93.26913687,Sell,COINBASE
METIS-usdT,MetisDAO / Tether,18.69,-1.57977883,-0.3,19.07,18.69,113.655,2304.89741076,43.72266389,Sell,COINBASE
NCT-usdT,Polyswarm / Tether,0.00756,1.06951872,0.00008,0.00756,0.00749,8175,2247.0116746,-53.66970604,Sell,COINBASE
ANKRBTC,Ankr / Bitcoin,0.00000127,0,0,0.00000128,0.00000127,120,2243.54422578,-96.90340633,Sell,COINBASE
REPBTC,Augur / Bitcoin,0.0003397,0.65185185,0.0000022,0.0003403,0.000339,35.359867,2230.51889077,-47.98534735,Neutral,COINBASE
DIA-usdT,DIA / Tether,0.33649,-3.52094504,-0.01228,0.35021,0.33649,6288.19,2167.88295709,62.48806379,Sell,COINBASE
DESOEUR,Decentralized Social / Euro,8.9,0.67873303,0.06,8.9,8.61,157.393,1942.14265123,8.22166168,Sell,COINBASE
BADGEREUR,Badger DAO / Euro,2.54,-1.93050193,-0.05,2.59,2.54,431.581,1936.83139972,-59.37572024,Sell,COINBASE
AIOZ-usdT,Aioz Network / Tether,0.0402,-0.4950495,-0.0002,0.0408,0.0402,46349.6,1887.16805252,432.02330315,Sell,COINBASE
LQTY-usdT,Liquity / Tether,0.62,-0.20923869,-0.0013,0.6237,0.6106,2975.85,1844.29924491,55.75427885,Sell,COINBASE
BOBA-usdT,Boba Network / Tether,0.203,-3.74585111,-0.0079,0.2085,0.2011,5418.3,1829.38207933,115.43221059,Strong Sell,COINBASE
BATETH,Basic Attention Token / Ether,0.00018331,-0.42911461,-7.9e-7,0.00018388,0.00018331,5,1731.73131868,-49.35250212,Sell,COINBASE
CTXEUR,Cryptex Finance / Euro,2.13,-1.38888889,-0.03,2.13,2.13,2.793,1730.31939512,-34.36340004,Sell,COINBASE
COVAL-usdT,Circuits of Value / Tether,0.00995,4.62670873,0.00044,0.0105,0.00934,160350,1588.23535869,3611.85485694,Sell,COINBASE
CTX-usdT,Cryptex Finance / Tether,2.24,0.9009009,0.02,2.35,2.24,683.084,1568.08731843,1186.05089701,Sell,COINBASE
DDXEUR,DerivaDAO / Euro,0.46,-2.35618765,-0.0111,0.4897,0.45,3167.62,1561.85911391,-74.873458,Sell,COINBASE
PUNDIX-usd,Pundi X / United States Dollar,0.3874,-0.15463918,-0.0006,0.389,0.3853,334.66,1498.31206,-78.8065763,Sell,COINBASE
API3-usdT,API3 / Tether,1.461,-2.79441118,-0.042,1.514,1.459,944.32,1470.25514212,-42.99104792,Sell,COINBASE
ZENBTC,Horizen / Bitcoin,0.0006392,0.29813275,0.0000019,0.0006392,0.0006392,0.032,1434.95326453,-26.94973221,Buy,COINBASE
ACH-usdT,Alchemy Pay / Tether,0.00966,-2.67002519,-0.000265,0.010085,0.00964,143901.8,1410.96940615,-74.93046548,Sell,COINBASE
DEXT-usdT,DEXTools / Tether,0.1339,-9.58811614,-0.0142,0.1533,0.1339,9202.7,1362.46829917,49.05887097,Buy,COINBASE
MANABTC,Decentraland / Bitcoin,0.0000241,0,0,0.0000242,0.000024,195.85,1242.12223286,-71.3200087,Sell,COINBASE
STG-usdT,Stargate Finance / Tether,0.4158,-0.12010569,-0.0005,0.4158,0.4155,9.4,1181.84129943,-5.05651153,Sell,COINBASE
MANAETH,Decentraland / Ether,0.0003272,-0.15257858,-5e-7,0.0003272,0.0003265,5.16,1090.66973714,-69.15789435,Sell,COINBASE
FOX-usdT,ShapeShift FOX Token / Tether,0.0323,-2.41691843,-0.0008,0.0343,0.0323,31998.1,1084.52612538,78092.16885846,Sell,COINBASE
MINAEUR,Mina / Euro,0.532,-0.18761726,-0.001,0.532,0.532,14.68,1080.72345007,-19.66016071,Sell,COINBASE
BATBTC,Basic Attention Token / Bitcoin,0.00001355,0.14781966,2e-8,0.00001357,0.00001354,22.71,1030.05516973,-94.31092908,Sell,COINBASE
HOPR-usdT,Hopr Token / Tether,0.0588,3.15789474,0.0018,0.0595,0.058,14672.9,972.80804097,114.39903589,Buy,COINBASE
ATA-usdT,Automata Network / Tether,0.1142,-4.19463087,-0.005,0.1206,0.1134,8223,967.32116774,149.56995779,Sell,COINBASE
POWREUR,Power Ledger / Euro,0.1434,-1.37551582,-0.002,0.1459,0.1434,4945.1,824.25390485,-59.54716971,Sell,COINBASE
DREP-usdT,Drep / Tether,0.3178,-0.03145643,-0.0001,0.3178,0.3178,63.87,800.28261772,10605.74497388,Neutral,COINBASE
AGLD-usdT,Adventure Gold / Tether,0.2737,-2.97766749,-0.0084,0.276,0.2715,2936.26,798.95482685,80352.90551983,Neutral,COINBASE
FET-usdT,Fetch.ai / Tether,0.0622,-2.50783699,-0.0016,0.0641,0.062,12501.4,790.13012524,-95.19402448,Sell,COINBASE
GNO-usdT,Gnosis / Tether,91.78,-2.58968372,-2.44,95.66,91.71,8.0402,745.66734706,193.86771576,Neutral,COINBASE
SKLBTC,SKALE / Bitcoin,0.00000161,0,0,0.00000162,0.00000161,9029.8,521.56637521,-53.38326265,Sell,COINBASE
NCTEUR,Polyswarm / Euro,0.00719,1.26760563,0.00009,0.00719,0.00711,10517,508.04492873,-87.88788357,Sell,COINBASE
SHPINGEUR,Shping / Euro,0.005178,3.47721823,0.000174,0.005236,0.005105,91878,500.50858547,-49.67371802,Sell,COINBASE
DIAEUR,DIA / Euro,0.3213,0,0,0.3213,0.3213,123.4,488.48875014,-69.99070604,Sell,COINBASE
WCFGEUR,Wrapped Centrifuge / Euro,0.206,-3.46766635,-0.0074,0.218,0.2044,1043.54,264.47589521,1332.35375399,Strong Sell,COINBASE
CLV-usdT,Clover Finance / Tether,0.0646,-1.52439024,-0.001,0.0646,0.0646,300.75,239.70244208,-77.31338067,Sell,COINBASE
G-usd-usd,Gemini Dollar / United States Dollar,1.001,0.1,0.001,1.001,0.999,212.05,212.14429,-97.40460945,Strong Buy,COINBASE
LQTYEUR,Liquity / Euro,0.5822,-2.29904346,-0.0137,0.5925,0.5821,96.37,181.89402844,-48.21875175,Strong Sell,COINBASE
IOTXEUR,IoTeX (ERC-20) / Euro,0.02614,0.1532567,0.00004,0.02632,0.026,6236,171.33380481,-84.05452414,Sell,COINBASE
BADGER-usdT,Badger DAO / Tether,2.67,-2.90909091,-0.08,2.72,2.67,57.537,158.8289872,-76.1636222,Sell,COINBASE
AUCTIONEUR,Bounce Token / Euro,4.85,-0.20576132,-0.01,5.01,4.85,28.699,148.07850197,-99.7958168,Sell,COINBASE
POWR-usdT,Power Ledger / Tether,0.1507,-0.33068783,-0.0005,0.1507,0.1505,116.7,86.52813996,-38.03078517,Sell,COINBASE
BIT-usdT,BitDAO / Tether,0.3042,-3.12101911,-0.0098,0.315,0.3042,256.17,81.13920439,-88.3234761,Sell,COINBASE
INDEX-usdT,Index Cooperative / Tether,1.95,-2.5,-0.05,1.98,1.94,34.849,68.22836565,-85.61759041,Strong Sell,COINBASE
XYOBTC,XYO / Bitcoin,2.5e-7,0,0,2.5e-7,2.5e-7,356,57.03996173,-61.83799829,Sell,COINBASE
KRLEUR,kryll / Euro,0.2785,0.46897547,0.0013,0.2957,0.2777,66.5,19.4904999,-99.25175374,Sell,COINBASE
